year,month,date,season,state,state_abbr,primary_mode,setting,etiology,etiology_grouped,ifsac_category,food_vehicle,water_exposure,water_type,water_type_group,animal_type,animal_group,illnesses,hospitalizations,deaths,illnesses_std,hospitalizations_std,deaths_std,hosp_per_ill,death_per_ill,food_vehicle_missing,water_exposure_missing,is_food_related,is_water_related,is_animal_related
1971,2,1971-02-01,Winter,California,CA,Water,Restaurant,Copper,Other,Not Applicable,Not Applicable,Drinking water,Community,Drinking/Community Water,Not Applicable,Other/Unknown,2.0,0.0,0.0,-0.01997558906972797,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,6,1971-06-01,Summer,Arkansas,AR,Water,Store,Hepatitis A,Hepatitis,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,98.0,0.0,0.0,0.04138652106260832,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,6,1971-06-01,Summer,Missouri,MO,Water,Subdivision/Neighborhood,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Community,Drinking/Community Water,Not Applicable,Other/Unknown,2.0,0.0,0.0,-0.01997558906972797,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,6,1971-06-01,Summer,Alabama,AL,Water,Unknown,Selenium,Other,Not Applicable,Not Applicable,Drinking water,Individual/Private,Drinking/Community Water,Not Applicable,Other/Unknown,3.0,0.0,0.0,-0.019336400422516133,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,6,1971-06-01,Summer,Vermont,VT,Water,Community/municipality,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Community,Drinking/Community Water,Not Applicable,Other/Unknown,3.0,0.0,0.0,-0.019336400422516133,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,6,1971-06-01,Summer,Oregon,OR,Water,Restaurant,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,200.0,0.0,0.0,0.10658376307821563,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,7,1971-07-01,Summer,New Jersey,NJ,Water,Camp/cabin,Hepatitis A,Hepatitis,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,22.0,0.0,0.0,-0.007191816125491243,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,7,1971-07-01,Summer,Mississippi,MS,Water,Camp/cabin,Shigella sonnei,Other,Not Applicable,Not Applicable,Drinking water,Community,Drinking/Community Water,Not Applicable,Other/Unknown,187.0,0.0,0.0,0.09827431066446175,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,7,1971-07-01,Summer,Kentucky,KY,Water,Park - State Park,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,68.0,0.0,0.0,0.02221086164625323,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,7,1971-07-01,Summer,California,CA,Water,Community/municipality,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Community,Drinking/Community Water,Not Applicable,Other/Unknown,3500.0,0.0,0.0,2.2159062988772753,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
