date,year,month,season,state,state_abbr,primary_mode,etiology,serotype_or_genotype,ifsac_category,setting,illnesses,hospitalizations,deaths,outbreak_severity,food_vehicle_missing,water_exposure,water_exposure_missing,water_type,water_type_group,animal_type,animal_group,is_food_related,is_water_related,is_animal_related
1971-02-01,1971,2,Winter,California,CA,Water,Copper,Not Applicable,Not Applicable,Restaurant,2,-0.18460740711594367,-0.0910808702943546,1.7243117225897018,Missing,Drinking water,Present,Community,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1971-06-01,1971,6,Summer,Arkansas,AR,Water,Hepatitis A,Not Applicable,Not Applicable,Store,98,-0.18460740711594367,-0.0910808702943546,97.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1971-06-01,1971,6,Summer,Missouri,MO,Water,Unknown,Not Applicable,Not Applicable,Subdivision/Neighborhood,2,-0.18460740711594367,-0.0910808702943546,1.7243117225897018,Missing,Drinking water,Present,Community,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1971-06-01,1971,6,Summer,Alabama,AL,Water,Selenium,Not Applicable,Not Applicable,Unknown,3,-0.18460740711594367,-0.0910808702943546,2.7243117225897016,Missing,Drinking water,Present,Individual/Private,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1971-06-01,1971,6,Summer,Vermont,VT,Water,Unknown,Not Applicable,Not Applicable,Community/municipality,3,-0.18460740711594367,-0.0910808702943546,2.7243117225897016,Missing,Drinking water,Present,Community,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1971-06-01,1971,6,Summer,Oregon,OR,Water,Unknown,Not Applicable,Not Applicable,Restaurant,200,-0.18460740711594367,-0.0910808702943546,199.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1971-07-01,1971,7,Summer,New Jersey,NJ,Water,Hepatitis A,Not Applicable,Not Applicable,Camp/cabin,22,-0.18460740711594367,-0.0910808702943546,21.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1971-07-01,1971,7,Summer,Mississippi,MS,Water,Shigella sonnei,Not Applicable,Not Applicable,Camp/cabin,187,-0.18460740711594367,-0.0910808702943546,186.7243117225897,Missing,Drinking water,Present,Community,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1971-07-01,1971,7,Summer,Kentucky,KY,Water,Unknown,Not Applicable,Not Applicable,Park - State Park,68,-0.18460740711594367,-0.0910808702943546,67.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1971-07-01,1971,7,Summer,California,CA,Water,Unknown,Not Applicable,Not Applicable,Community/municipality,3500,-0.18460740711594367,-0.0910808702943546,3499.72431172259,Missing,Drinking water,Present,Community,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1971-08-01,1971,8,Summer,New Jersey,NJ,Water,Shigella sonnei,Not Applicable,Not Applicable,Camp/cabin,67,-0.18460740711594367,-0.0910808702943546,66.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1971-08-01,1971,8,Summer,Oklahoma,OK,Water,Hepatitis A,Not Applicable,Not Applicable,Unknown,6,-0.18460740711594367,-0.0910808702943546,5.724311722589702,Missing,Drinking water,Present,Individual/Private,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1971-08-01,1971,8,Summer,New Mexico,NM,Water,Unknown,Not Applicable,Not Applicable,Other,10,-0.18460740711594367,-0.0910808702943546,9.724311722589702,Missing,Other/Environmental water,Present,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,1,0
