"Date","Year","Month","season","State","state_abbr","Primary Mode","Etiology","Illnesses","Hospitalizations","Deaths","outbreak_severity","Water Exposure","Water Type","Animal Type","is_food_related","is_water_related","is_animal_related"
"1971-02",1971,2,"Winter","California","CA","Water","Copper",2,0,0,2,"Drinking water","Community",NA,0,1,0
"1971-06",1971,6,"Summer","Arkansas","AR","Water","Hepatitis A",98,0,0,98,"Drinking water","Other",NA,0,1,0
"1971-06",1971,6,"Summer","Missouri","MO","Water","Unknown",2,0,0,2,"Drinking water","Community",NA,0,1,0
"1971-06",1971,6,"Summer","Alabama","AL","Water","Selenium",3,0,0,3,"Drinking water","Individual/Private",NA,0,1,0
"1971-06",1971,6,"Summer","Vermont","VT","Water","Unknown",3,0,0,3,"Drinking water","Community",NA,0,1,0
"1971-06",1971,6,"Summer","Oregon","OR","Water","Unknown",200,0,0,200,"Drinking water","Other",NA,0,1,0
"1971-07",1971,7,"Summer","New Jersey","NJ","Water","Hepatitis A",22,0,0,22,"Drinking water","Other",NA,0,1,0
"1971-07",1971,7,"Summer","Mississippi","MS","Water","Shigella sonnei",187,0,0,187,"Drinking water","Community",NA,0,1,0
"1971-07",1971,7,"Summer","Kentucky","KY","Water","Unknown",68,0,0,68,"Drinking water","Other",NA,0,1,0
"1971-07",1971,7,"Summer","California","CA","Water","Unknown",0,0,0,0,"Drinking water","Community",NA,0,1,0
"1971-08",1971,8,"Summer","New Jersey","NJ","Water","Shigella sonnei",67,0,0,67,"Drinking water","Other",NA,0,1,0
"1971-08",1971,8,"Summer","Oklahoma","OK","Water","Hepatitis A",6,0,0,6,"Drinking water","Individual/Private",NA,0,1,0
"1971-08",1971,8,"Summer","New Mexico","NM","Water","Unknown",10,0,0,10,"Other/Environmental water",NA,NA,0,1,0
"1971-09",1971,9,"Fall","North Carolina","NC","Water","Hepatitis A",2,0,0,2,"Drinking water","Individual/Private",NA,0,1,0
"1971-09",1971,9,"Fall","North Carolina","NC","Water","Unknown",38,0,1,39,"Drinking water","Community",NA,0,1,0
"1971-11",1971,11,"Fall","Oklahoma","OK","Water","Hepatitis A",50,0,0,50,"Drinking water","Community",NA,0,1,0
"1971-11",1971,11,"Fall","New York","NY","Water","Unknown",750,0,0,750,"Drinking water","Other",NA,0,1,0
"1971-11",1971,11,"Fall","Alaska","AK","Water","Shigella sonnei",89,0,0,89,"Drinking water","Community",NA,0,1,0
"1971-11",1971,11,"Fall","Texas","TX","Water","Hepatitis A",3,0,0,3,"Drinking water","Individual/Private",NA,0,1,0
"1971-12",1971,12,"Winter","California","CA","Water","Unknown",84,0,0,84,"Drinking water","Other",NA,0,1,0
"1972-03",1972,3,"Spring","New York","NY","Water","Unknown",21,0,0,21,"Drinking water","Other",NA,0,1,0
"1972-03",1972,3,"Spring","Alaska","AK","Water","Unknown",400,0,0,400,"Drinking water","Community",NA,0,1,0
"1972-04",1972,4,"Spring","Indiana","IN","Water","Shigella sonnei",2,0,0,2,"Drinking water","Other",NA,0,1,0
"1972-04",1972,4,"Spring","Colorado","CO","Water","Unknown",25,0,0,25,"Drinking water","Other",NA,0,1,0
"1972-04",1972,4,"Spring","Colorado","CO","Water","Unknown",142,0,0,142,"Drinking water","Other",NA,0,1,0
"1972-05",1972,5,"Spring","Oregon","OR","Water","Unknown",37,0,0,37,"Drinking water","Other",NA,0,1,0
"1972-05",1972,5,"Spring","Ohio","OH","Water","Hepatitis A",9,0,0,9,"Drinking water","Community",NA,0,1,0
"1972-05",1972,5,"Spring","Minnesota","MN","Water","Arsenic",11,0,0,11,"Drinking water","Other",NA,0,1,0
"1972-05",1972,5,"Spring","Illinois","IL","Water","Unknown",90,0,0,90,"Drinking water","Other",NA,0,1,0
"1972-05",1972,5,"Spring","Florida","FL","Water","Unknown",40,0,0,40,"Drinking water","Other",NA,0,1,0
"1972-05",1972,5,"Spring","Colorado","CO","Water","Giardia duodenalis",28,0,0,28,"Drinking water","Other",NA,0,1,0
"1972-05",1972,5,"Spring","Colorado","CO","Water","Giardia duodenalis",24,0,0,24,"Drinking water","Other",NA,0,1,0
"1972-05",1972,5,"Spring","California","CA","Water","Unknown",26,0,0,26,"Drinking water","Other",NA,0,1,0
"1972-06",1972,6,"Summer","Pennsylvania","PA","Water","Fluoride",150,0,0,150,"Drinking water","Other",NA,0,1,0
"1972-06",1972,6,"Summer","Washington","WA","Water","Salmonella enterica",5,0,0,5,"Drinking water","Individual/Private",NA,0,1,0
"1972-06",1972,6,"Summer","Maryland","MD","Water","Unknown",88,0,0,88,"Drinking water","Other",NA,0,1,0
"1972-06",1972,6,"Summer","Massachusetts","MA","Water","Unknown",3,0,0,3,"Drinking water","Community",NA,0,1,0
"1972-07",1972,7,"Summer","Ohio","OH","Water","Hepatitis A",12,0,0,12,"Drinking water","Community",NA,0,1,0
"1972-07",1972,7,"Summer","Pennsylvania","PA","Water","Hepatitis A",5,0,0,5,"Drinking water","Other",NA,0,1,0
"1972-08",1972,8,"Summer","Alabama","AL","Water","Hepatitis A",9,0,0,9,"Drinking water","Community",NA,0,1,0
"1972-08",1972,8,"Summer","North Carolina","NC","Water","Unknown",9,0,0,9,"Drinking water","Other",NA,0,1,0
"1972-09",1972,9,"Fall","Tennessee","TN","Water","Unknown",19,0,0,19,"Drinking water","Community",NA,0,1,0
"1972-09",1972,9,"Fall","Washington","WA","Water","Salmonella enterica",3,0,0,3,"Other/Environmental water",NA,NA,0,1,0
"1972-09",1972,9,"Fall","Utah","UT","Water","Giardia duodenalis",60,0,0,60,"Drinking water","Other",NA,0,1,0
"1972-09",1972,9,"Fall","Hawaii","HI","Water","Shigella sonnei",61,0,0,61,"Drinking water","Other",NA,0,1,0
"1972-10",1972,10,"Fall","Alabama","AL","Water","Hepatitis A",50,0,0,50,"Drinking water","Other",NA,0,1,0
"1972-11",1972,11,"Fall","Iowa","IA","Water","Shigella sonnei",208,0,0,208,"Drinking water","Other",NA,0,1,0
"1972-11",1972,11,"Fall","West Virginia","WV","Water","Unknown",60,0,0,60,"Drinking water","Community",NA,0,1,0
"1972-11",1972,11,"Fall","Florida","FL","Water","Oil",41,0,0,41,"Drinking water","Community",NA,0,1,0
"1972-12",1972,12,"Winter","Colorado","CO","Water","Giardia duodenalis",12,0,0,12,"Drinking water","Community",NA,0,1,0
"1973-02",1973,2,"Winter","Alabama","AL","Water","Hepatitis A",50,0,0,50,"Drinking water","Community",NA,0,1,0
"1973-02",1973,2,"Winter","Florida","FL","Water","Salmonella enterica",210,0,0,210,"Drinking water","Other",NA,0,1,0
"1973-03",1973,3,"Spring","New Jersey","NJ","Water","Unknown",2,0,0,2,"Drinking water","Commercially-Bottled",NA,0,1,0
"1973-04",1973,4,"Spring","Maryland","MD","Water","Salmonella enterica",2,0,0,2,"Drinking water","Individual/Private",NA,0,1,0
"1973-06",1973,6,"Summer","New Jersey","NJ","Water","Unknown",22,0,0,22,"Drinking water","Other",NA,0,1,0
"1973-06",1973,6,"Summer","Pennsylvania","PA","Water","Unknown",38,0,0,38,"Drinking water","Other",NA,0,1,0
"1973-06",1973,6,"Summer","Pennsylvania","PA","Water","Unknown",71,0,0,71,"Drinking water","Other",NA,0,1,0
"1973-06",1973,6,"Summer","Arizona","AZ","Water","Shigella unknown",2,0,0,2,"Drinking water","Individual/Private",NA,0,1,0
"1973-06",1973,6,"Summer","Virginia","VA","Water","Legionella pneumophila",12,0,0,12,"Other/Environmental water",NA,NA,0,1,0
"1973-07",1973,7,"Summer","Oregon","OR","Water","Unknown",29,0,0,29,"Drinking water","Other",NA,0,1,0
"1973-07",1973,7,"Summer","Alaska","AK","Water","Shigella unknown",50,0,0,50,"Drinking water","Community",NA,0,1,0
"1973-07",1973,7,"Summer","Arkansas","AR","Water","Unknown",225,0,0,225,"Drinking water","Other",NA,0,1,0
"1973-07",1973,7,"Summer","Colorado","CO","Water","Giardia duodenalis",16,0,0,16,"Drinking water","Other",NA,0,1,0
"1973-07",1973,7,"Summer","Ohio","OH","Water","Hepatitis A",35,0,0,35,"Drinking water","Other",NA,0,1,0
"1973-07",1973,7,"Summer","Virginia","VA","Water","Legionella pneumophila",10,9,0,19,"Other/Environmental water",NA,NA,0,1,0
"1973-08",1973,8,"Summer","Tennessee","TN","Water","Giardia duodenalis",5,0,0,5,"Drinking water","Individual/Private",NA,0,1,0
"1973-08",1973,8,"Summer","New Jersey","NJ","Water","Unknown",46,0,0,46,"Drinking water","Other",NA,0,1,0
