"Year","Month","Date","Season","State","State_abbr","Primary_mode","Setting","Etiology","Etiology_group","IFSAC_category","Food_vehicle","Water_exposure","Water_type","Water_type_group","Animal_type","Animal_type_group","Illnesses","Hospitalizations","Deaths","Hospitalizations_std","Deaths_std","Illnesses_std","Hosp_per_ill","Death_per_ill","Food_vehicle_missing","Water_exposure_missing","is_food_related","is_water_related","is_animal_related"
1971,2,"1971-02","Winter","California","CA","Water","Restaurant","Copper","Other",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",2,0,0,-0.184606023516803,-0.0910801876596986,-0.0199766041269386,0,0,"Missing","Present",0,1,0
1971,6,"1971-06","Summer","Arkansas","AR","Water","Store","Hepatitis A","Hepatitis",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",98,0,0,-0.184606023516803,-0.0910801876596986,0.0413882638602587,0,0,"Missing","Present",0,1,0
1971,6,"1971-06","Summer","Missouri","MO","Water","Subdivision/Neighborhood","Unknown","Unknown",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",2,0,0,-0.184606023516803,-0.0910801876596986,-0.0199766041269386,0,0,"Missing","Present",0,1,0
1971,6,"1971-06","Summer","Alabama","AL","Water","Unknown","Selenium","Other",NA,NA,"Drinking water","Individual/Private","Drinking/Community Water",NA,"Other/Unknown",3,0,0,-0.184606023516803,-0.0910801876596986,-0.019337386752072,0,0,"Missing","Present",0,1,0
1971,6,"1971-06","Summer","Vermont","VT","Water","Community/municipality","Unknown","Unknown",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",3,0,0,-0.184606023516803,-0.0910801876596986,-0.019337386752072,0,0,"Missing","Present",0,1,0
1971,6,"1971-06","Summer","Oregon","OR","Water","Restaurant","Unknown","Unknown",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",200,0,0,-0.184606023516803,-0.0910801876596986,0.106588436096656,0,0,"Missing","Present",0,1,0
1971,7,"1971-07","Summer","New Jersey","NJ","Water","Camp/cabin","Hepatitis A","Hepatitis",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",22,0,0,-0.184606023516803,-0.0910801876596986,-0.00719225662960585,0,0,"Missing","Present",0,1,0
1971,7,"1971-07","Summer","Mississippi","MS","Water","Camp/cabin","Shigella sonnei","Other",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",187,0,0,-0.184606023516803,-0.0910801876596986,0.0982786102233896,0,0,"Missing","Present",0,1,0
1971,7,"1971-07","Summer","Kentucky","KY","Water","Park - State Park","Unknown","Unknown",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",68,0,0,-0.184606023516803,-0.0910801876596986,0.0222117426142595,0,0,"Missing","Present",0,1,0
1971,7,"1971-07","Summer","California","CA","Water","Community/municipality","Unknown","Unknown",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",3500,0,0,-0.184606023516803,-0.0910801876596986,2.21600577315656,0,0,"Missing","Present",0,1,0
1971,8,"1971-08","Summer","New Jersey","NJ","Water","Camp/cabin","Shigella sonnei","Other",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",67,0,0,-0.184606023516803,-0.0910801876596986,0.0215725252393929,0,0,"Missing","Present",0,1,0
1971,8,"1971-08","Summer","Oklahoma","OK","Water","Unknown","Hepatitis A","Hepatitis",NA,NA,"Drinking water","Individual/Private","Drinking/Community Water",NA,"Other/Unknown",6,0,0,-0.184606023516803,-0.0910801876596986,-0.0174197346274721,0,0,"Missing","Present",0,1,0
1971,8,"1971-08","Summer","New Mexico","NM","Water","Other","Unknown","Unknown",NA,NA,"Other/Environmental water",NA,"Other",NA,"Other/Unknown",10,0,0,-0.184606023516803,-0.0910801876596986,-0.0148628651280055,0,0,"Missing","Present",0,1,0
1971,9,"1971-09","Fall","North Carolina","NC","Water","Private home/residence","Hepatitis A","Hepatitis",NA,NA,"Drinking water","Individual/Private","Drinking/Community Water",NA,"Other/Unknown",2,0,0,-0.184606023516803,-0.0910801876596986,-0.0199766041269386,0,0,"Missing","Present",0,1,0
1971,9,"1971-09","Fall","North Carolina","NC","Water","Mobile home/trailer park","Unknown","Unknown",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",38,0,1,-0.184606023516803,2.34819422395872,0.00303522136826038,0,0.0263157894736842,"Missing","Present",0,1,0
1971,11,"1971-11","Fall","Oklahoma","OK","Water","Community/municipality","Hepatitis A","Hepatitis",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",50,0,0,-0.184606023516803,-0.0910801876596986,0.01070582986666,0,0,"Missing","Present",0,1,0
1971,11,"1971-11","Fall","New York","NY","Water","Restaurant","Unknown","Unknown",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",750,0,0,-0.184606023516803,-0.0910801876596986,0.458157992273307,0,0,"Missing","Present",0,1,0
1971,11,"1971-11","Fall","Alaska","AK","Water","Mobile home/trailer park","Shigella sonnei","Other",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",89,0,0,-0.184606023516803,-0.0910801876596986,0.035635307486459,0,0,"Missing","Present",0,1,0
1971,11,"1971-11","Fall","Texas","TX","Water","Farm/dairy/agricultural setting","Hepatitis A","Hepatitis",NA,NA,"Drinking water","Individual/Private","Drinking/Community Water",NA,"Other/Unknown",3,0,0,-0.184606023516803,-0.0910801876596986,-0.019337386752072,0,0,"Missing","Present",0,1,0
1971,12,"1971-12","Winter","California","CA","Water","Hotel/motel","Unknown","Unknown",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",84,0,0,-0.184606023516803,-0.0910801876596986,0.0324392206121258,0,0,"Missing","Present",0,1,0
1972,3,"1972-03","Spring","New York","NY","Water","Restaurant","Unknown","Unknown",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",21,0,0,-0.184606023516803,-0.0910801876596986,-0.00783147400447249,0,0,"Missing","Present",0,1,0
1972,3,"1972-03","Spring","Alaska","AK","Water","Community/municipality","Unknown","Unknown",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",400,0,0,-0.184606023516803,-0.0910801876596986,0.234431911069984,0,0,"Missing","Present",0,1,0
1972,4,"1972-04","Spring","Indiana","IN","Water","Park - Other/Unspecified","Shigella sonnei","Other",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",2,0,0,-0.184606023516803,-0.0910801876596986,-0.0199766041269386,0,0,"Missing","Present",0,1,0
1972,4,"1972-04","Spring","Colorado","CO","Water","Resort","Unknown","Unknown",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",25,0,0,-0.184606023516803,-0.0910801876596986,-0.00527460450500593,0,0,"Missing","Present",0,1,0
1972,4,"1972-04","Spring","Colorado","CO","Water","Camp/cabin","Unknown","Unknown",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",142,0,0,-0.184606023516803,-0.0910801876596986,0.0695138283543908,0,0,"Missing","Present",0,1,0
1972,5,"1972-05","Spring","Oregon","OR","Water","Resort","Unknown","Unknown",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",37,0,0,-0.184606023516803,-0.0910801876596986,0.00239600399339374,0,0,"Missing","Present",0,1,0
1972,5,"1972-05","Spring","Ohio","OH","Water","Mobile home/trailer park","Hepatitis A","Hepatitis",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",9,0,0,-0.184606023516803,-0.0910801876596986,-0.0155020825028722,0,0,"Missing","Present",0,1,0
1972,5,"1972-05","Spring","Minnesota","MN","Water","Office/indoor workplace","Arsenic","Other",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",11,0,0,-0.184606023516803,-0.0910801876596986,-0.0142236477531389,0,0,"Missing","Present",0,1,0
1972,5,"1972-05","Spring","Illinois","IL","Water","Park - State Park","Unknown","Unknown",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",90,0,0,-0.184606023516803,-0.0910801876596986,0.0362745248613256,0,0,"Missing","Present",0,1,0
1972,5,"1972-05","Spring","Florida","FL","Water","Park - State Park","Unknown","Unknown",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",40,0,0,-0.184606023516803,-0.0910801876596986,0.00431365611799365,0,0,"Missing","Present",0,1,0
1972,5,"1972-05","Spring","Colorado","CO","Water","Camp/cabin","Giardia duodenalis","Other",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",28,0,0,-0.184606023516803,-0.0910801876596986,-0.00335695238040601,0,0,"Missing","Present",0,1,0
1972,5,"1972-05","Spring","Colorado","CO","Water","Hotel/motel","Giardia duodenalis","Other",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",24,0,0,-0.184606023516803,-0.0910801876596986,-0.00591382187987257,0,0,"Missing","Present",0,1,0
1972,5,"1972-05","Spring","California","CA","Water","Resort","Unknown","Unknown",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",26,0,0,-0.184606023516803,-0.0910801876596986,-0.00463538713013929,0,0,"Missing","Present",0,1,0
1972,6,"1972-06","Summer","Pennsylvania","PA","Water","School/college/university","Fluoride","Other",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",150,0,0,-0.184606023516803,-0.0910801876596986,0.0746275673533239,0,0,"Missing","Present",0,1,0
